Schematron;Severity;FejlId;Konstrurede beskrivelse;Original data;Er konstrureret?;Beskrivelse opdateret med xml element Navn;Er original beskrivelse;XmlElement type;Id;Release Date:;Modification comment:;BZ issue no:
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR001];[F-APR001] Root element must be ApplicationResponse;[F-APR001] Root element must be ApplicationResponse;FALSE;FALSE;FALSE;Node;APR001;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR004];[F-APR004] ProfileID with value 'NONE' is only allowed when ResponseCode equals 'TechnicalReject' or 'ProfileReject';[F-APR004] ProfileID with value 'NONE' is only allowed when ResponseCode equals 'TechnicalReject' or 'ProfileReject';FALSE;FALSE;FALSE;Node;APR004;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR005];[F-APR005] Invalid ID. Must contain a value;[F-APR005] Invalid ID. Must contain a value;FALSE;FALSE;FALSE;Node;APR005;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR006];[F-APR006] Invalid ID. Must contain a value;[F-APR006] Invalid ID. Must contain a value;FALSE;FALSE;FALSE;Node;APR006;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR008];[F-APR008] Invalid EndpointID. Must contain a value;[F-APR008] Invalid EndpointID. Must contain a value;FALSE;FALSE;FALSE;Node;APR008;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR012];[F-APR012] Invalid EndpointID. Must contain a value;[F-APR012] Invalid EndpointID. Must contain a value;FALSE;FALSE;FALSE;Node;APR012;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR015];[F-APR015] Invalid ResponseCode. Must contain a value;[F-APR015] Invalid ResponseCode. Must contain a value;FALSE;FALSE;FALSE;Node;APR015;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR016];[F-APR016] Invalid ReferenceID. Must contain a value;[F-APR016] Invalid ReferenceID. Must contain a value;FALSE;FALSE;FALSE;Node;APR016;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR017];[F-APR017] Invalid listID. Must be 'urn:oioubl:codelist:responsecode-1.1';[F-APR017] Invalid listID. Must be 'urn:oioubl:codelist:responsecode-1.1';FALSE;FALSE;FALSE;Node;APR017;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR018];[F-APR018] Invalid ResponseCode. Must be a value from the codelist;[F-APR018] Invalid ResponseCode. Must be a value from the codelist;FALSE;FALSE;FALSE;Node;APR018;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR021];[F-APR021] DocumentType element must be excluded;[F-APR021] DocumentType element must be excluded;FALSE;FALSE;FALSE;Node;APR021;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR024];[F-APR024] Invalid DocumentTypeCode. Must contain a value;[F-APR024] Invalid DocumentTypeCode. Must contain a value;FALSE;FALSE;FALSE;Node;APR024;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR025];[F-APR025] Invalid ID. Must contain a value;[F-APR025] Invalid ID. Must contain a value;FALSE;FALSE;FALSE;Node;APR025;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR026];[F-APR026] Invalid UUID. Must be of this form '6E09886B-DC6E-439F-82D1-7CCAC7F4E3B1';[F-APR026] Invalid UUID. Must be of this form '6E09886B-DC6E-439F-82D1-7CCAC7F4E3B1';FALSE;FALSE;FALSE;Node;APR026;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[W-APR027];[W-APR027] Invalid listID. Must be ''urn:oioubl:codelist:responsedocumenttypecode-1.1'' or ''urn:oioubl:codelist:responsedocumenttypecode-1.2'';[W-APR027] Invalid listID. Must be '' or '';TRUE;FALSE;FALSE;Node;APR027;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR028];[F-APR028] Invalid DocumentTypeCode: '?'. Must be a value from the codelist;[F-APR028] Invalid DocumentTypeCode: ''. Must be a value from the codelist;TRUE;FALSE;TRUE;Node;APR028;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR029];[F-APR029] DocumentReference class must be excluded;[F-APR029] DocumentReference class must be excluded;FALSE;FALSE;FALSE;Node;APR029;;;
OIOUBL_ApplicationResponse_Schematron.xsl;F;[F-APR030];[F-APR030] Invalid LineID. Must contain a value;[F-APR030] Invalid LineID. Must contain a value;FALSE;FALSE;FALSE;Node;APR030;;;
